ph,temperature,turbidity,dissolved_oxygen,ammonia,label
8.19,21.83,38.39,6.29,0.022,ROHU
7.09,28.66,33.03,6.62,0.001,ROHU
7.8,29.51,30.05,5.97,0.062,CATFISH
7.31,25.46,50.39,4.64,0.014,CATFISH
8.46,20.33,12.72,6.47,0.019,CARP
7.89,18.46,28.23,4.68,0.003,CARP
8.41,23.63,21.56,4.06,0.012,CARP
7.66,19.22,24.86,4.14,0.045,CARP
7.27,25.55,22.75,4.83,0.028,CARP
8.44,13.43,4.7,10.68,0.006,SALMON
7.13,21.96,16.36,5.48,0.019,ROHU
7.35,26.69,97.57,4.62,0.028,CATFISH
8.1,8.52,4.93,10.32,0.002,SALMON
8.22,27.07,36.87,6.81,0.004,ROHU
7.98,29.15,40.5,5.85,0.005,ROHU
7.47,23.25,36.89,6.41,0.044,ROHU
7.46,31.77,43.96,5.89,0.012,TILAPIA
7.99,28.14,11.41,5.08,0.002,SHRIMP
8.34,24.75,31.9,6.59,0.007,ROHU
7.62,27.56,21.86,4.73,0.014,ROHU
8.38,28.75,9.43,5.32,0.009,SHRIMP
7.28,26.93,26.18,7.23,0.045,CARP
8.36,22.72,34.43,4.5,0.018,ROHU
6.51,14.09,4.17,7.67,0.001,TROUT
7.37,19.68,16.56,6.23,0.02,CARP
8.47,30.77,8.78,6.49,0.006,SHRIMP
8.99,26.13,49.06,4.64,0.002,TILAPIA
8.09,29.45,31.24,4.79,0.028,TILAPIA
8.01,27.62,22.13,6.68,0.018,ROHU
8.48,21.99,34.49,7.19,0.008,CARP
6.78,10.33,5.91,9.03,0.0,TROUT
7.71,12.79,0.96,9.82,0.004,TROUT
8.41,21.38,25.23,4.84,0.046,ROHU
8.2,26.37,7.62,7.95,0.01,SHRIMP
7.1,24.74,45.89,6.6,0.032,TILAPIA
7.2,29.6,43.87,6.43,0.02,TILAPIA
8.11,24.67,16.47,6.59,0.03,TILAPIA
7.06,17.52,9.74,7.85,0.003,TROUT
7.73,27.22,45.7,4.99,0.024,CATFISH
6.86,10.57,3.72,10.16,0.003,SALMON
7.76,24.36,17.51,6.36,0.049,CARP
7.84,15.05,7.95,8.51,0.006,TROUT
6.99,29.78,21.23,3.1,0.032,TILAPIA
